date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-06-12,787,3975,1431,6193,0.1652666946661067,0.7689326659131277,0.17683626619055517,0.767038645402769
2022-06-11,790,3964,1444,6198,0.16617585191417752,0.7670216198773798,0.17677593939036282,0.7669179581719162
2022-06-10,827,3916,1455,6198,0.17436221800548177,0.7652468538238142,0.1763515848674558,0.7672353242158517
2022-06-09,836,3918,1444,6198,0.1758519141775347,0.7670216198773798,0.17602124237546368,0.7671146493928688
2022-06-08,874,4041,1281,6196,0.17782299084435402,0.7932537120723047,0.17594474830670195,0.7668448711122193
2022-06-07,801,3403,1375,5579,0.19053282588011416,0.7535400609428213,0.17552910098329902,0.7668440927602419
2022-06-06,791,3420,1372,5583,0.18784136784611732,0.7542539853125559,0.17490081911492836,0.7673591447870282
2022-06-05,784,3972,1436,6192,0.1648444070647603,0.7680878552971576,0.1737561572138451,0.7675085805898698
2022-06-04,778,3989,1430,6197,0.1632053702538284,0.7692431821849282,0.17381100948660944,0.7673755251158255
2022-06-03,815,3922,1460,6197,0.17204982056153684,0.7644021300629337,0.17443092573365399,0.7669036811486716
2022-06-02,831,3909,1455,6195,0.17531645569620252,0.7651331719128329,0.17511407292638176,0.7666281998107612
2022-06-01,859,4052,1280,6191,0.1749134595805335,0.7932482636084639,0.17506056458645455,0.7665196588250593
2022-05-31,784,3428,1351,5563,0.18613485280151948,0.7571454251303253,0.17541337599155085,0.7662792898877101
2022-05-30,756,3448,1362,5566,0.17982873453853473,0.755300035932447,0.1763593585910955,0.765777972068384
2022-05-29,785,3966,1442,6193,0.16522837297411072,0.7671564669788471,0.17758070869733486,0.7655142746432598
2022-05-28,795,3950,1450,6195,0.16754478398314016,0.7659402744148507,0.17787659513804358,0.7652781902132805
2022-05-27,835,3887,1471,6193,0.17683185091063108,0.7624737606975618,0.17798153224196064,0.765503429852434
2022-05-26,828,3905,1459,6192,0.17494189731671245,0.7643733850129198,0.1782149930684655,0.7660217061692471
2022-05-25,869,4030,1290,6189,0.1773831394162074,0.7915656810470189,0.17877644400494286,0.7664069680127837
2022-05-24,809,3388,1372,5569,0.19275673099833215,0.753636200395044,0.17971961409882029,0.7665415378560586
2022-05-23,791,3408,1374,5573,0.18837818528221004,0.7534541539565763,0.17971676212038715,0.766835661694563
2022-05-22,793,3947,1452,6192,0.16729957805907172,0.7655038759689923,0.1803238533685035,0.766950795370209
2022-05-21,800,3954,1440,6194,0.16827934371055953,0.7675169518889248,0.18075027221871293,0.7671546218122843
2022-05-20,847,3899,1449,6195,0.17846607669616518,0.7661016949152543,0.18081656600451773,0.7668399670907073
2022-05-19,850,3902,1443,6195,0.17887205387205388,0.7670702179176755,0.18093613537678074,0.7666921613101634
2022-05-18,903,4005,1285,6193,0.18398533007334963,0.7925076699499435,0.18130221327450421,0.7664860621540537
2022-05-17,812,3401,1362,5575,0.1927367671492998,0.755695067264574,0.18121832013583106,0.766203327526602
2022-05-16,810,3395,1370,5575,0.19262782401902498,0.7542600896860987,0.1809132312628122,0.7658389020763012
2022-05-15,808,3937,1442,6187,0.1702845100105374,0.7669306610635203,0.18085181451087595,0.7657360408272617
2022-05-14,799,3936,1452,6187,0.16874340021119325,0.7653143688378858,0.1807802513631514,0.7659528389641818
2022-05-13,849,3886,1454,6189,0.17930306230200635,0.7650670544514461,0.1811243697277905,0.7663136212746696
2022-05-12,860,3880,1451,6191,0.18143459915611815,0.7656275238249072,0.1812757051776333,0.7663731664912834
2022-05-11,897,3994,1296,6187,0.1833980781026375,0.7905285275577825,0.18093403448253484,0.7687389205901453
2022-05-10,799,3393,1374,5566,0.19060114503816794,0.7531440891124686,0.18054535058739427,0.7716052173038233
2022-05-09,808,3396,1375,5579,0.192197906755471,0.7535400609428213,0.1807891430544692,0.7739624587638444
2022-05-08,808,3951,1434,6193,0.16978356797646565,0.7684482480219603,0.18030648487032777,0.776702325099337
2022-05-07,814,3942,1438,6194,0.17115222876366695,0.7678398450113013,0.18029483041011368,0.7783143080175213
2022-05-06,856,3890,1454,6200,0.18036241045090604,0.765483870967742,0.18038746957459412,0.7800924934569917
2022-05-05,868,3980,1350,6198,0.17904290429042904,0.782187802516941,0.1799651295910192,0.7823224725750746
2022-05-04,907,4113,1173,6193,0.18067729083665338,0.8105926045535282,0.17950044697910414,0.7821431305659369
2022-05-03,825,3465,1284,5574,0.19230769230769232,0.7696447793326158,0.1793348100363676,0.7820640062965081
2022-05-02,814,3497,1268,5579,0.1888192994664811,0.7727191252912708,0.17905430975586725,0.782964110670137
2022-05-01,820,4012,1365,6197,0.1697019867549669,0.7797321284492497,0.17969674050211046,0.7827549068295294
2022-04-30,831,4006,1362,6199,0.17180070291502997,0.7802871430875947,0.17967218782111435,0.7826600159475564
2022-04-29,859,3983,1357,6199,0.17740603056588186,0.7810937247943217,0.17978222383961598,0.7823757559984788
2022-04-28,851,3990,1358,6199,0.17579012600702335,0.7809324084529763,0.17994344400497944,0.7823728916033892
2022-04-27,901,4118,1177,6196,0.1795178322374975,0.8100387346675274,0.18086886046642087,0.7825082240546498
2022-04-26,824,3505,1250,5579,0.19034419034419034,0.7759455099480194,0.18132153688451824,0.7826278663070146
2022-04-25,833,3476,1278,5587,0.19331631469018334,0.7712546984070163,0.18207044216304022,0.781954072056878
2022-04-24,819,4012,1370,6201,0.1695301179879942,0.7790678922754395,0.18239906775987613,0.7815802569746673
2022-04-23,833,3994,1375,6202,0.17257095504454112,0.7782973234440503,0.18249218927145772,0.7816415721704665
2022-04-22,865,3980,1358,6203,0.1785345717234262,0.7810736740286958,0.18236694067595655,0.7818691586238117
2022-04-21,884,3966,1353,6203,0.1822680412371134,0.7818797356118008,0.18223135850085767,0.7820223923372208
2022-04-20,918,4107,1172,6197,0.1826865671641791,0.810876230434081,0.18204368807772,0.7817791838769647
2022-04-19,842,3463,1277,5582,0.19558652729384438,0.771228950197062,0.18199435988873297,0.7820313057465881
2022-04-18,839,3450,1291,5580,0.1956166938680345,0.7686379928315412,0.18200662824248742,0.781911306946255
2022-04-17,823,4013,1368,6204,0.17018196856906534,0.7794970986460348,0.18202037973757448,0.7817327088540783
2022-04-16,831,4009,1366,6206,0.17169421487603306,0.7798904286174669,0.18225109922651953,0.7811058116637474
2022-04-15,862,3992,1352,6206,0.17758549649773384,0.7821463100225589,0.1823047578780018,0.7804791255909632
2022-04-14,876,3965,1364,6205,0.18095434827514975,0.7801772763900081,0.18298999180618797,0.7800109931810958
2022-04-13,919,4121,1162,6202,0.18234126984126983,0.8126410835214447,0.18294658598997124,0.7796349684243494
2022-04-12,841,3457,1281,5579,0.19567240577012565,0.7703889585947302,0.18342318243427536,0.7796205702902644
2022-04-11,840,3452,1301,5593,0.195712954333644,0.7673878061863043,0.1833956905701634,0.7793488646053541
2022-04-10,826,3982,1395,6203,0.17179700499168052,0.7751088183137191,0.1832901837654701,0.779502117395832
2022-04-09,828,3984,1393,6205,0.17206982543640897,0.7755036261079774,0.1833068739033612,0.7798910691490771
2022-04-08,882,3954,1373,6209,0.18238213399503722,0.7788693831534869,0.18380613908742363,0.781136122792267
2022-04-07,872,3955,1381,6208,0.18065050756163248,0.7775451030927835,0.18363979855356088,0.7813072997647741
2022-04-06,936,4105,1163,6204,0.18567744495139854,0.8125402965828498,0.18404517348689095,0.7817035553131004
2022-04-05,839,3453,1293,5585,0.19547996272134202,0.7684870188003581,0.18412296099589023,0.7816488513142329
2022-04-04,838,3460,1295,5593,0.19497440670079105,0.7684605757196495,0.18391580214230835,0.7815072733133226
2022-04-03,830,3998,1379,6207,0.17191383595691798,0.7778314805864347,0.18389893668088195,0.7819079324135175
